web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,photo
"1789824652-23","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","FEUILLAGE ARTIFICIEL JASMIN 0.5X0.5M","129,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107959_mdf.jpg"
"1789824652-24","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","FEUILLAGE ARTIFICIEL LIERRE 0.5X0.5M","129,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107960.jpg"
"1789824652-25","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","FEUILLAGE ARTIFICIELLE COLIMA 0.5X0.5M","129,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/107961.jpg"
"1789824652-26","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","TREILLIS EXTENSIBLE FEUILLES DE JASMIN 1X2 M","629,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/0/109178.jpg"
"1789824652-27","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","GRILLAGE CUADRANET 10*10 VERT 1*25M (LE METRE)","39,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/1/112178.jpg"
"1789824652-28","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","CLOTURE HERBE ARTIFICIELLE  2M*10M","3 000,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/c/a/capture_d_e_cran_2022-03-02_a_15.11.25.png"
"1789824652-29","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","CLOTURE AVEC HERBE ARTIFICIELLE H 1M*10","1 299,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/c/a/capture_d_e_cran_2022-03-02_a_15.11.25_1.png"
"1789824652-30","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","CLOTURE AVEC HERBE ARTIFICIELLE H 1.5M*10","1 949,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/c/a/capture_d_e_cran_2022-03-02_a_15.11.25_2.png"
"1789824652-31","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","GAZON ARTIFICIEL CONFORT 20MM (1M²)","159,00 MAD","Voir produit","","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/1/1/114712.png"
"1789824652-32","https://www.bricoma.ma/jardinage-pein-air/decoration-jardin.html","PACK 9 DALLES CLICKFLOOR MADERA 30X30CM","629,00 MAD","Voir produit","CATRAL","nouveauté","best seller","Stock Limité","https://www.bricoma.ma/pub/media/catalog/product/cache/91592fba593eb22710bd0e431c05b560/4/0/40010001_1.jpeg"
